"DateTime","Scheduled flights","Tracked flights"
"2020-05-18",127,87
"2020-05-19",116,73
"2020-05-20",128,86
"2020-05-21",135,85
"2020-05-22",140,95
"2020-05-23",126,84
"2020-05-24",138,89
"2020-05-25",187,91
"2020-05-26",173,79
"2020-05-27",191,87
"2020-05-28",185,92
"2020-05-29",204,94
"2020-05-30",184,89
"2020-05-31",198,86
"2020-06-01",223,104
"2020-06-02",216,88
"2020-06-03",243,108
"2020-06-04",230,99
"2020-06-05",236,111
"2020-06-06",192,102
"2020-06-07",200,107
"2020-06-08",182,105
"2020-06-09",160,88
"2020-06-10",205,109
"2020-06-11",200,113
"2020-06-12",219,124
"2020-06-13",186,113
"2020-06-14",208,121
"2020-06-15",217,128
"2020-06-16",207,119
